0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.30,0.20,0.20,0.24,0.29,0.22,0.33,0.25,0.25,0.24
0.99,0.91,1.05,0.76,0.90,1.02,0.95,0.62,0.82,0.84
1.53,1.73,1.66,1.68,1.66,1.73,1.75,1.87,1.51,1.74
2.86,2.83,2.65,2.55,2.58,2.74,2.62,2.82,2.87,2.50
3.90,3.77,4.15,3.98,4.09,3.76,4.50,4.12,3.96,3.71
5.77,5.38,5.28,5.56,5.52,5.71,5.53,5.54,5.19,5.61
7.34,6.98,7.52,7.32,7.68,7.39,7.52,7.25,7.45,7.79
8.90,9.43,9.57,9.54,9.50,9.64,9.59,9.07,9.84,9.45
12.06,11.31,11.96,11.59,12.16,11.77,12.04,11.27,11.88,12.26
13.80,14.54,14.04,14.03,14.25,13.80,14.12,13.90,14.12,14.10
16.84,16.91,17.06,17.13,16.44,17.00,17.10,16.60,16.66,16.97
19.00,19.63,19.71,20.47,19.16,19.76,19.73,19.68,19.73,19.59
22.18,22.15,22.11,22.47,22.97,22.39,21.24,21.56,22.67,22.23
25.59,25.67,24.95,25.18,25.10,25.50,25.67,25.04,26.20,25.68
28.41,28.08,28.72,28.10,28.48,28.38,28.16,27.50,28.33,27.86
30.33,31.87,31.41,31.87,31.58,30.98,31.80,31.00,31.48,31.46
34.60,34.67,35.07,34.37,35.82,35.25,35.45,34.27,34.34,34.81
38.60,38.56,37.72,37.70,37.77,37.82,38.06,38.11,37.74,37.27
40.84,41.47,41.12,40.86,40.38,40.51,40.52,41.42,40.56,41.29
44.73,44.40,43.49,44.51,45.56,44.90,42.91,43.86,44.16,43.97
47.73,47.39,47.19,47.51,47.93,47.90,48.40,48.01,47.42,46.83
50.25,50.63,51.25,50.81,51.36,50.90,50.73,50.42,50.95,50.42
53.84,53.62,54.40,53.36,54.12,54.03,53.54,54.31,53.61,53.87
56.46,56.51,56.74,57.07,56.62,57.13,56.45,56.59,56.27,56.65
59.59,58.90,59.91,59.77,59.16,59.61,60.11,59.39,59.37,59.59
63.06,63.44,62.61,62.81,63.11,62.78,63.21,62.12,62.30,62.72
65.39,64.97,65.51,65.58,65.61,65.96,65.28,65.45,66.24,64.77
67.45,67.95,67.67,68.00,67.54,68.00,68.79,67.42,67.82,68.46
70.85,70.31,70.45,71.81,70.60,71.09,70.10,69.71,70.38,70.89
72.63,72.24,73.69,73.54,72.72,72.82,72.18,73.78,72.74,73.37
