99.96,100.00,99.98,99.95,99.98,99.98,99.98,99.96,99.97,99.97
99.99,99.99,99.98,100.00,100.00,99.97,99.97,99.97,99.97,99.99
99.97,99.98,99.98,99.98,100.00,99.99,99.99,100.00,99.96,100.00
100.00,99.98,100.00,99.98,99.99,99.99,99.99,100.00,100.00,99.99
99.98,99.99,99.97,100.00,99.99,99.99,99.99,99.99,99.99,99.99
100.00,100.00,99.98,100.00,100.00,100.00,100.00,100.00,99.99,100.00
100.00,100.00,100.00,99.99,99.99,100.00,99.99,99.98,99.99,99.99
100.00,99.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
100.00,99.98,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
99.99,100.00,100.00,100.00,100.00,99.97,100.00,100.00,100.00,100.00
100.00,100.00,99.99,100.00,99.99,100.00,100.00,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,99.99,100.00,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
100.00,100.00,100.00,99.99,99.99,100.00,100.00,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
100.00,99.99,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,99.99,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
